ProductName,Category,Price,SafetyRating,PopularityScore,Description
Piplup,General,$81.72,Safe,7.3,The Piplup is a versatile gift for everyone.
Adopt Me! Queen Bee,General,$63.66,Safe,7.3,The Adopt Me! Queen Bee is a versatile gift for everyone.
Lego Set,Arts & Crafts,$50.83,Safe,7.2,Unleash your creativity with the Lego Set.
Electrocubes Nightlight Building Set,General,$81.88,Caution,7.2,The Electrocubes Nightlight Building Set is a versatile gift for everyone.
Lego Batman Mech Armor,Arts & Crafts,$70.78,Safe,7.1,Unleash your creativity with the Lego Batman Mech Armor.
Electric Candle Lighter,General,$89.77,Caution,7.1,The Electric Candle Lighter is a versatile gift for everyone.
5 Surprise Nba Ballers,Sports & Outdoors,$61.80,Safe,7.1,Get active and stay fit with this high-performance 5 Surprise Nba Ballers.
Retro Instant Camera,Electronics,$96.66,Caution,7,State-of-the-art Retro Instant Camera for the tech-savvy user.
Scratch-Off World Map,General,$93.44,Safe,7,The Scratch-Off World Map is a versatile gift for everyone.
Teenage Mutant Ninja Turtles Figures,Dolls & Plush,$57.11,Safe,7,"Soft and cuddly Teenage Mutant Ninja Turtles Figures, perfect for hugs and imaginative play."
Lego Sets,Arts & Crafts,$72.89,Safe,7,Unleash your creativity with the Lego Sets.
Nintendo Switch Game,Board Games & Puzzles,$24.95,Safe,6.8,Challenge your mind and friends with this engaging Nintendo Switch Game.
Digital Art Drawing Tablet,Arts & Crafts,$28.23,Caution,6.7,Unleash your creativity with the Digital Art Drawing Tablet.
Color-Changing Smart Light Bulb,Arts & Crafts,$39.10,Caution,6.7,Unleash your creativity with the Color-Changing Smart Light Bulb.
Personalized Leather Journal,Books,$22.71,Safe,6.6,Immerse yourself in stories with this Personalized Leather Journal.
Doll,Dolls & Plush,$57.58,Safe,6.5,"Soft and cuddly Doll, perfect for hugs and imaginative play."
Art Supplies,Arts & Crafts,$62.90,Safe,6.3,Unleash your creativity with the Art Supplies.
Mini Waffle Maker,Arts & Crafts,$67.17,Safe,6.2,Unleash your creativity with the Mini Waffle Maker.
Portable Karaoke Microphone,Electronics,$231.62,Caution,6.2,State-of-the-art Portable Karaoke Microphone for the tech-savvy user.
Electric Wine Opener,Arts & Crafts,$30.25,Caution,6.2,Unleash your creativity with the Electric Wine Opener.
Beige Either Doll,Dolls,$18.71,Safe,7.8,The Beige Either Doll is a versatile gift for everyone.
Cyan Threat Vehicle,Vehicles,$194.11,Safe,7.9,The Cyan Threat Vehicle is a versatile gift for everyone.
Mintcream Clearly Doll,Dolls,$175.40,Caution,7.8,The Mintcream Clearly Doll is a versatile gift for everyone.
Springgreen Since Sport,Sports,$194.66,Safe,7.8,Get active and stay fit with this high-performance Springgreen Since Sport.
Fuchsia Maybe Puzzle,Puzzles,$10.62,Restricted,7.9,Challenge your mind and friends with this engaging Fuchsia Maybe Puzzle.
Palevioletred Head Doll,Dolls,$65.77,Safe,7.8,The Palevioletred Head Doll is a versatile gift for everyone.
Salmon Watch Sport,Sports,$156.03,Caution,7.8,Get active and stay fit with this high-performance Salmon Watch Sport.
Lightcoral Rule Doll,Dolls,$139.52,Restricted,7.8,The Lightcoral Rule Doll is a versatile gift for everyone.
Cornsilk Most Sport,Sports,$194.50,Safe,7.8,Get active and stay fit with this high-performance Cornsilk Most Sport.
Ivory Police Book,Books,$123.22,Caution,7.8,Immerse yourself in stories with this Ivory Police Book.
Darkgoldenrod Often Book,Books,$123.32,Caution,7.8,Immerse yourself in stories with this Darkgoldenrod Often Book.
Lightsalmon State Doll,Dolls,$39.04,Safe,7.8,The Lightsalmon State Doll is a versatile gift for everyone.
Goldenrod Along Puzzle,Puzzles,$27.27,Safe,7.9,Challenge your mind and friends with this engaging Goldenrod Along Puzzle.
Turquoise Few Book,Books,$78.78,Safe,7.8,Immerse yourself in stories with this Turquoise Few Book.
Seashell With Sport,Sports,$151.93,Caution,7.8,Get active and stay fit with this high-performance Seashell With Sport.
Mediumslateblue Suddenly Board Game,Board Games,$151.55,Restricted,7.9,Challenge your mind and friends with this engaging Mediumslateblue Suddenly Board Game.
Darkorchid Small Puzzle,Puzzles,$37.15,Safe,7.9,Challenge your mind and friends with this engaging Darkorchid Small Puzzle.
Fuchsia Hospital Book,Books,$178.09,Restricted,7.8,Immerse yourself in stories with this Fuchsia Hospital Book.
Moccasin Population Arts & Craft,Arts & Crafts,$50.40,Caution,7.7,Unleash your creativity with the Moccasin Population Arts & Craft.
Greenyellow Rise Book,Books,$60.87,Safe,7.8,Immerse yourself in stories with this Greenyellow Rise Book.
Darkblue Federal Board Game,Board Games,$166.14,Caution,7.9,Challenge your mind and friends with this engaging Darkblue Federal Board Game.
Olive Hard Board Game,Board Games,$140.08,Safe,7.9,Challenge your mind and friends with this engaging Olive Hard Board Game.
Aliceblue Watch Sport,Sports,$198.01,Restricted,7.8,Get active and stay fit with this high-performance Aliceblue Watch Sport.
White Most Board Game,Board Games,$41.05,Caution,7.9,Challenge your mind and friends with this engaging White Most Board Game.
Peachpuff The Doll,Dolls,$125.73,Safe,7.8,The Peachpuff The Doll is a versatile gift for everyone.
Mediumspringgreen Win Board Game,Board Games,$137.33,Restricted,7.9,Challenge your mind and friends with this engaging Mediumspringgreen Win Board Game.
Indigo Then Arts & Craft,Arts & Crafts,$40.90,Caution,7.7,Unleash your creativity with the Indigo Then Arts & Craft.
Lightskyblue Your Doll,Dolls,$82.22,Caution,7.8,The Lightskyblue Your Doll is a versatile gift for everyone.
Thistle Among Sport,Sports,$197.19,Safe,7.8,Get active and stay fit with this high-performance Thistle Among Sport.
Khaki Join Arts & Craft,Arts & Crafts,$119.70,Restricted,7.7,Unleash your creativity with the Khaki Join Arts & Craft.
Rosybrown Visit Doll,Dolls,$74.24,Restricted,7.8,The Rosybrown Visit Doll is a versatile gift for everyone.
Firebrick Push Board Game,Board Games,$121.80,Safe,7.9,Challenge your mind and friends with this engaging Firebrick Push Board Game.
Maroon Free Doll,Dolls,$144.49,Safe,7.8,The Maroon Free Doll is a versatile gift for everyone.
Mistyrose Small Board Game,Board Games,$22.81,Safe,7.9,Challenge your mind and friends with this engaging Mistyrose Small Board Game.
Cyan Develop Arts & Craft,Arts & Crafts,$23.46,Safe,7.7,Unleash your creativity with the Cyan Develop Arts & Craft.
Cadetblue Agree Sport,Sports,$137.11,Safe,7.8,Get active and stay fit with this high-performance Cadetblue Agree Sport.
Orange For Electronic,Electronics,$147.44,Restricted,8.1,State-of-the-art Orange For Electronic for the tech-savvy user.
Black Already Puzzle,Puzzles,$56.17,Caution,7.9,Challenge your mind and friends with this engaging Black Already Puzzle.
Red Central Book,Books,$46.18,Safe,7.8,Immerse yourself in stories with this Red Central Book.
Magenta When Book,Books,$77.32,Caution,7.8,Immerse yourself in stories with this Magenta When Book.
Aqua A Puzzle,Puzzles,$174.13,Safe,7.9,Challenge your mind and friends with this engaging Aqua A Puzzle.
Silver Firm Doll,Dolls,$21.52,Restricted,7.8,The Silver Firm Doll is a versatile gift for everyone.
Antiquewhite Official Arts & Craft,Arts & Crafts,$162.11,Safe,7.7,Unleash your creativity with the Antiquewhite Official Arts & Craft.
Oldlace Discussion Board Game,Board Games,$46.40,Restricted,7.9,Challenge your mind and friends with this engaging Oldlace Discussion Board Game.
Lightpink Feel Puzzle,Puzzles,$36.63,Safe,7.9,Challenge your mind and friends with this engaging Lightpink Feel Puzzle.
Lightpink School Sport,Sports,$97.90,Safe,7.8,Get active and stay fit with this high-performance Lightpink School Sport.
Purple Short Puzzle,Puzzles,$163.52,Restricted,7.9,Challenge your mind and friends with this engaging Purple Short Puzzle.
Lightcyan Guy Arts & Craft,Arts & Crafts,$93.24,Restricted,7.7,Unleash your creativity with the Lightcyan Guy Arts & Craft.
Antiquewhite South Board Game,Board Games,$39.04,Safe,7.9,Challenge your mind and friends with this engaging Antiquewhite South Board Game.
Tomato None Book,Books,$193.23,Restricted,7.8,Immerse yourself in stories with this Tomato None Book.
Mediumspringgreen Kitchen Doll,Dolls,$19.61,Restricted,7.8,The Mediumspringgreen Kitchen Doll is a versatile gift for everyone.
Lightpink Summer Electronic,Electronics,$34.39,Caution,8.1,State-of-the-art Lightpink Summer Electronic for the tech-savvy user.
Navy His Doll,Dolls,$195.82,Restricted,7.8,The Navy His Doll is a versatile gift for everyone.
Lightsalmon Military Vehicle,Vehicles,$123.80,Caution,7.9,The Lightsalmon Military Vehicle is a versatile gift for everyone.
Darkorchid Say Sport,Sports,$55.50,Safe,7.8,Get active and stay fit with this high-performance Darkorchid Say Sport.
Sienna Sure Electronic,Electronics,$60.36,Restricted,8.1,State-of-the-art Sienna Sure Electronic for the tech-savvy user.
Gray Part Puzzle,Puzzles,$32.99,Safe,7.9,Challenge your mind and friends with this engaging Gray Part Puzzle.
Chocolate Dinner Board Game,Board Games,$145.46,Caution,7.9,Challenge your mind and friends with this engaging Chocolate Dinner Board Game.
Lightgoldenrodyellow Culture Doll,Dolls,$26.27,Caution,7.8,The Lightgoldenrodyellow Culture Doll is a versatile gift for everyone.
Darksalmon Arm Vehicle,Vehicles,$31.25,Caution,7.9,The Darksalmon Arm Vehicle is a versatile gift for everyone.
